scenario,tasks,seed,algorithm,fitness,convergence_iteration,runtime_s,evaluation_budget
2,15,202611,DE,0.3115578308441692,16,0.1208137999055907,416
2,15,202612,IPSO,0.2911039208375779,25,0.1074396999320015,416
2,15,202612,PSO,0.2944027386814222,25,0.1043940000236034,416
2,15,202612,GA,0.3036210834448615,23,0.1261479000095278,416
2,15,202612,ACO,0.2822312987567716,18,0.3230883999494836,416
2,15,202612,DE,0.3004808294449695,25,0.1216567000374198,416
2,15,202613,IPSO,0.2868546296443581,25,0.1021461000200361,416
2,15,202613,PSO,0.2736416774332451,25,0.0997677999548614,416
2,15,202613,GA,0.2933344158579529,22,0.1152807000325992,416
2,15,202613,ACO,0.2945772922864644,13,0.3022645999444648,416
2,15,202613,DE,0.30529316821824,22,0.1318437999580055,416
2,15,202614,IPSO,0.292860209494403,25,0.1049144999124109,416
2,15,202614,PSO,0.2931677885133107,25,0.1105432000476867,416
2,15,202614,GA,0.2924007687567267,13,0.1188938999548554,416
2,15,202614,ACO,0.2852709919694595,13,0.2763161999173462,416
2,15,202614,DE,0.3053425790255339,12,0.1402110999915748,416
2,15,202615,IPSO,0.2933611061053345,23,0.1121027999324724,416
2,15,202615,PSO,0.2984114698032594,25,0.1067324000177905,416
2,15,202615,GA,0.2957254175557543,24,0.1116999000078067,416
2,15,202615,ACO,0.2869740974992054,17,0.2915569999022409,416
2,15,202615,DE,0.2995628518933055,25,0.1245561999967321,416
2,15,202616,IPSO,0.3078693262782965,25,0.1190566000295803,416
2,15,202616,PSO,0.3256208431748152,25,0.0939177999971434,416
2,15,202616,GA,0.2778083590759245,21,0.1171319000422954,416
2,15,202616,ACO,0.2895650121764183,12,0.3641837000614032,416
2,15,202616,DE,0.311326870070828,25,0.1484240000136196,416
2,15,202617,IPSO,0.2873405244317006,11,0.1245228999760001,416
2,15,202617,PSO,0.2811637915654069,19,0.1733697999734431,416
2,15,202617,GA,0.292147725847216,25,0.1457317000022158,416
2,15,202617,ACO,0.2981847494425095,18,0.2955368999391794,416
2,15,202617,DE,0.2862322497869983,17,0.1371330999536439,416
2,15,202618,IPSO,0.3097606168179597,25,0.1549590000649914,416
2,15,202618,PSO,0.290488207904243,25,0.0900746999541297,416
2,15,202618,GA,0.2813066328791737,24,0.119867300032638,416
2,15,202618,ACO,0.2952435775872273,11,0.3476023999974131,416
2,15,202618,DE,0.2728818164711846,20,0.1248784000054001,416
2,15,202619,IPSO,0.2999819279808975,12,0.1978555000387132,416
2,15,202619,PSO,0.2766278759000283,25,0.1460595999378711,416
2,15,202619,GA,0.2822055217505783,25,0.12867219990585,416
2,15,202619,ACO,0.2880454240815784,19,0.3492783999536186,416
2,15,202619,DE,0.3180476222895135,25,0.1101909999269992,416
2,15,202620,IPSO,0.2821934635682481,14,0.0985339999897405,416
2,15,202620,PSO,0.2988762809866268,25,0.1209225000347942,416
2,15,202620,GA,0.2836316044063032,25,0.1707611000165343,416
2,15,202620,ACO,0.278736814215817,16,0.3966273999540135,416
2,15,202620,DE,0.3052186516296752,25,0.1687351999571547,416
2,15,202621,IPSO,0.2939995953332139,25,0.112351999967359,416
2,15,202621,PSO,0.2760934675976299,25,0.1088512999704107,416
2,15,202621,GA,0.2838179247174813,22,0.1197877000086009,416
2,15,202621,ACO,0.2808568212804899,20,0.3090139999985695,416
2,15,202621,DE,0.2993687243035818,25,0.1569787999615073,416
2,15,202622,IPSO,0.2806513224721045,25,0.1335906999884173,416
2,15,202622,PSO,0.3011547929665025,24,0.1369009000482037,416
2,15,202622,GA,0.2996872396243651,23,0.2257035999791696,416
2,15,202622,ACO,0.3083817627576823,13,0.3482134999940172,416
2,15,202622,DE,0.3058116112179416,25,0.1717963999835774,416
2,15,202623,IPSO,0.2778562886732229,25,0.1760788999963551,416
2,15,202623,PSO,0.2883699622286865,25,0.1500687999650836,416
2,15,202623,GA,0.2849710562144749,19,0.1206456000218167,416
2,15,202623,ACO,0.2707229477073412,14,0.2942138999933377,416
2,15,202623,DE,0.2911785144507866,25,0.1368638999992981,416
2,15,202624,IPSO,0.2668936583295527,25,0.1113000999903306,416
2,15,202624,PSO,0.2885959609710927,19,0.112216200097464,416
2,15,202624,GA,0.2858124092276227,25,0.1162869000108912,416
2,15,202624,ACO,0.277156983701792,17,0.2751107999356463,416
2,15,202624,DE,0.3001939124710476,25,0.130449500051327,416
2,15,202625,IPSO,0.3030110464228316,24,0.111582399928011,416
2,15,202625,PSO,0.2816450699150906,23,0.1013880000682547,416
2,15,202625,GA,0.2855663325672692,25,0.1168245999142527,416
2,15,202625,ACO,0.2982452995380144,17,0.2854329000692814,416
2,15,202625,DE,0.3102745280607584,15,0.1214299999410286,416
2,15,202626,IPSO,0.2883284033305682,25,0.1093127999920398,416
2,15,202626,PSO,0.2747915098861763,16,0.1061791999964043,416
2,15,202626,GA,0.2740398689209585,19,0.1244247000431642,416
2,15,202626,ACO,0.2722482658729164,18,0.3294549999991432,416
2,15,202626,DE,0.291959088518174,15,0.1449720000382512,416
2,15,202627,IPSO,0.2771511267290224,14,0.1176282999804243,416
2,15,202627,PSO,0.2954812043833909,25,0.11401040002238,416
2,15,202627,GA,0.3080296890010265,12,0.1301139000570401,416
2,15,202627,ACO,0.2872545375367497,20,0.3337496999884024,416
2,15,202627,DE,0.305635527265623,25,0.1243439000099897,416
2,15,202628,IPSO,0.2960684503289154,22,0.1172345000086352,416
2,15,202628,PSO,0.2685260998512692,25,0.1135658000130206,416
2,15,202628,GA,0.2698832443102308,16,0.1297189000761136,416
2,15,202628,ACO,0.2829219157114325,23,0.3374111999291926,416
2,15,202628,DE,0.3021341178993431,17,0.1425551000284031,416
2,15,202629,IPSO,0.3088962903650309,16,0.1190102000255137,416
2,15,202629,PSO,0.2775157017710357,25,0.1167217000620439,416
2,15,202629,GA,0.2912627002225466,23,0.1302498000441119,416
