scenario,tasks,algorithm,fitness_mean,fitness_sd,runtime_mean_s,runtime_sd_s,convergence_mean
16,41,PSO,0.6170770605825898,0.0159062976754426,0.1587921300088055,0.024670073064052,22.03333333333333
17,42,ACO,0.5965084600832943,0.0143352717076865,0.4409857933176681,0.0964909057958409,24.566666666666663
17,42,DE,0.6643924545161833,0.0172798046232932,0.1285177333435664,0.0285436993126992,20.666666666666668
17,42,IPSO,0.6071487832183587,0.0140113307764229,0.1109552533326981,0.0343027186740778,21.433333333333334
17,42,GA,0.6063459333538579,0.0192482202699344,0.120907469994078,0.0285296515409777,24.5
17,42,PSO,0.6452835141173853,0.0158255774729345,0.116181006662858,0.0284464785314795,24.3
18,44,ACO,0.6083140698959855,0.0195202768778933,0.4237147866670663,0.0577154678124937,23.966666666666665
18,44,DE,0.6726619647829285,0.0149977291376209,0.1203878766701867,0.0213956144411149,20.23333333333333
18,44,IPSO,0.5989403935527032,0.0069280488498032,0.1026346466659257,0.010358496950516,18.166666666666668
18,44,GA,0.6234083694136222,0.0160360960306618,0.1113993666522825,0.0146520251214524,24.433333333333334
18,44,PSO,0.6450159765124881,0.0209625160861596,0.0997369433287531,0.0094178846006235,23.366666666666667
19,46,ACO,0.6048090539486037,0.017593945660322,0.5347511500003748,0.0538721141549839,24.766666666666666
19,46,DE,0.6757882554919311,0.0151333093057425,0.1533610700047575,0.0178856159255328,19.566666666666663
19,46,IPSO,0.5958188554005694,0.0108493648719533,0.1334757600173664,0.0158125636078043,16.266666666666666
19,46,GA,0.6184901449038377,0.017618995747749,0.1449795233318582,0.0151847381147795,25.0
19,46,PSO,0.6507000979744124,0.0190739667310141,0.1332894666624876,0.0165783274202062,22.966666666666665
